NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Kembang turi ,87.4,51,1.8,0.6,9.6,5,0.6,23,29,0.9,22,275.3,0.15,0.9,,201,105,0.13,0.12,0.6,41,83
Kerokot ,93,26,1.7,0.4,3.8,1,1.1,103,39,3.6,4,240.5,0.23,0.9,,0,2550,0.03,0.09,0.2,25,80
Ketimun ,97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,0,18,314,0.01,0.02,0.1,1,55
Ketimun krai ,96.8,10,0.5,0.2,2,0.6,0.5,20,98,1,10,82.1,0.03,0.1,0,19,21,0.02,0.03,0.1,3,82
Ketimun madura,97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2,78.9,0.02,0.1,0,25,0,0.02,0.02,0.1,5,89
Komak ,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,0.6,,5,,0.2,0.19,0.1,,80
Kool kembang,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47,187,0.04,0.3,,24,90,0.11,0.09,0.6,69,57
Kool merahkool putih,92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28,236.8,0.29,0.3,,46,80,0.06,0.07,0.3,50,75
Koro kerupuk polong,67.2,128,8.3,0.7,22.1,0,1.7,17,12,2.7,,,,,,,80,0.11,,,31,68
Koro wedus polong,88,46,3,0.3,7.9,3.3,0.8,56,47,1.1,2,249.3,0.09,0.4,,66,870,0.09,0.09,0.5,17,70
Kucai ,86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21,439.5,0.11,0.5,,2685,40,0.11,0.2,1.8,17,52
Kucai muda (Lokio),86,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22,449.1,0.11,0.5,,2744,500,0.11,0.2,1.8,59,100
Kulit melinjo,71.9,111,4.5,1.1,20.7,5,1.8,117,179,2.6,,,,,0,,1267,0.07,,,7,100
Kundur ,94,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2,200,0.1,0.3,,7,,0.1,0.03,0.4,1,57
Labu air ,95,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2,168.2,0.03,0.8,,11,70,0.04,0.02,0.4,10,80
Labu kuning ,86.6,51,1.7,0.5,10,2.7,1.2,40,180,0.7,280,220,0.35,1.5,,1569,,0.2,0,0.1,2,74
Labu siam ,92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3,167.1,0.16,1,,48,20,0.02,0,0.6,18,83
Labu waluh ,91.2,32,1.1,0.1,6.6,0.5,1,45,64,1.4,1,356.2,0.13,0.3,,712,180,0.08,0.12,0.6,52,77
Lantar ,91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3,155,0.2,0.4,,38,,0.3,0.07,0.4,4,
Lobak ,94.1,21,0.9,0.1,4.2,1.4,0.7,35,26,0.6,49,109.3,0.03,0.2,,0,10,0.03,0.04,0.3,32,87
Lumai/Leunca ,90.5,38,1.1,0.3,7.6,2,0.5,7,55,1,2,,0.1,0.3,,25,,0.2,0.1,0.6,17,95
Melinjo ,80,66,5,0.7,13.3,0,1,163,75,2.8,,,,,,,1000,0.1,,,"10
 0",60
Mostarda metan sawi,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20,100,0.1,0.4,,1575,,0.2,0.1,0.1,12,85
Nangka muda ,85.4,57,2,0.4,11.3,8.3,0.9,45,29,0.5,1,246.5,0.04,0.1,,21,25,0.07,0.06,0.7,9,80
Paria putih ,94.4,19,1,0.4,3.6,1.3,0.6,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58,80
Pepare ular ,95.1,19,0.6,0.1,3.9,1,0.3,20,10,0.4,130,30,0.1,0.1,,69,,0.1,0.1,0.1,9,97
Pepaya muda ,92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,0,,0,50,0.02,0.03,0.3,19,65
Petai ,77.2,92,5.4,1.1,15.2,2,1.1,14,170,1.6,55,221,0.2,0.8,,114,,0.8,0.1,6.1,34,36
Peterseli ,83.9,53,3.7,1,9,0,2.4,193,84,4.3,18,"1125.
 6",0.2,1.4,,2940,8230,0.11,0.29,0.7,"19
 3",95
Pucuk lumai/daun leunca ,91,33,4.5,0.4,2.8,0,1.3,13,75,2.9,2,0,0.2,0.6,,,,0.5,0.1,,41,70
Putri malu ,80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631,0.6,1.4,,4762,,0.6,0.6,,6,
Rebung ,93.3,25,0.8,0.1,5.3,9.7,0.5,3,5,0.5,3,206,0.1,0.4,,10,,0.2,0.07,0.5,0,28
Rimbang ,80.8,75,1.6,0.6,15.8,10,1.2,55,97,0.6,20,234,0.4,0.4,,51,,0.4,0.1,1.3,38,95
Rumput laut,87,41,1.4,0.3,8.1,2.2,3.2,80,20,1.6,250,380,0.2,0.4,,1958,,0.2,0,0.1,7,100
Sawi ,92.2,28,2.3,0.3,4,2.5,1.2,220,38,2.9,22,436.5,0.12,0.2,,2042,6460,0.09,0.23,0.7,"10
 2",87
Sawi putih / pecai,96.6,9,1,0.1,1.7,0.8,0.6,56,42,1.1,5,193.1,0.05,0.1,0,862,832,0.05,0.18,0.4,3,79
Sawi taiwan ,91.8,30,1.9,0.5,4.4,2.7,1.4,100,58,1.6,27,217,0.1,0.7,,1340,,0.2,0.1,0.6,33,85
Sawi tanah ,94.9,19,1.3,0.2,2.9,2.2,1,92,45,1.2,17,145,0.1,0.4,,815,,0.2,0.1,0.1,36,85
Selada ,94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19,186.4,0.03,0.2,,1526,540,0.04,0.13,0.4,8,69
Selada air ,93.3,17,3.1,0.2,2.2,0.7,1.2,95,152,2.4,65,260.7,0.11,0.2,0,1230,3727,0.09,0.14,0.7,56,70
Seledri ,93,23,1,0.1,4.6,2,1.3,50,40,1,64,258.8,0.08,0.4,,63,130,0.03,0.07,0.4,11,63
Taoge ,90.4,34,3.7,1.2,4.3,1.1,0.4,166,74,0.8,19,93.3,0.16,0.4,,41,20,0.09,0.15,1.1,5,100
Taoge kacang kedelai,81,76,9,2.6,6.4,0.7,1,50,65,1,5,212.4,0.26,0.7,,0,110,0.23,0.19,1.2,15,100
Taoge kacang tunggak ,88,40,5,0.2,5.8,2.6,1,57,88,1,2,226.8,0.07,0.5,,299,0,0.07,0.08,0.8,15,90
Tebu terubuk (lilin),91,30,4.6,0.4,3,0.8,1,40,80,2,699,,0.2,1.1,,12,0,0.08,0.2,1.2,50,20
Tekokak ,89,34,2,0.1,7.9,4.9,1,50,30,2,3,333.3,0.12,0.2,,23,750,0.08,0.05,0.9,8,95
Tekokak kering,12.3,302,8.3,1.7,72.6,21.2,8.1,370,180,22.2,9,0,"1044.2
 0",1,,187,750,0.4,0.17,5.1,0,100
Terong ,92.7,28,1.1,0.2,5.5,2.1,0.5,15,37,0.4,9,187,0.1,0.1,,46,30,0.04,0.03,0.5,5,100
Terong asam ,90.5,37,2,0.4,6.3,3.2,0.8,13,59,1.5,3,155,0.3,0.3,,97,,0.2,0.1,0.8,4,
Terung belanda ,87.3,52,2.1,1.1,8.6,1.4,1,16,40,1.1,,,,,0,,8048,0.42,0.06,0,12,100
Terung bengkulu,86.6,52,1.1,0.4,11.2,3.2,0.8,19,39,1.1,14,,0.16,1,0,85,600,0.23,0.04,0,6,100
Terong hintalo ,89.2,45,1.9,0.8,7.5,5.1,0.6,19,268,1,167,142,0.6,0.2,,552,,0.2,0.4,,4,
Terung panjang,91.8,25,2.1,0.1,5.3,0.5,0.7,38,24,0.7,9,53.7,0.09,0.2,0,83,24,0.15,0.06,0.7,8,100
Tomat air (sari) ,94,20,1,0.2,3.5,0.4,1.3,7,15,0.4,10,225.2,0.06,0.1,,266,600,0.05,0.03,0.7,10,100
Tomat merah ,92.9,24,1.3,0.5,4.7,1.5,0.6,8,77,0.6,10,164.9,0.14,0.2,,575,2083,0.06,0.07,0.4,34,100
Tomat muda ,93,24,2,0.7,3.3,1.8,2,5,27,0.5,10,210,0.07,0.2,,384,320,0.07,0.04,0.7,30,95
Uceng/ bunga melinjo,79.5,82,5.8,1.3,11.7,4.8,1.7,70,266,2.4,,,,,,,58,0.11,0.15,,3,89
Umbut kelapa ,89.3,39,2,0.2,7.2,2.5,1.3,57,49,,4,447,0.2,1.4,,16,,0.1,0.1,,8,
Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,1.3,89,79,1.3,8,552,0.2,1.9,,14,,0.2,,,9,
Wortel ,89.9,36,1,0.6,7.9,1,0.6,45,74,1,70,245,0.06,0.3,,3784,7125,0.04,0.04,1,18,80
Bayam kukus,90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15,431,0.1,0.3,0,2699,3750,0.02,0.1,0.9,32,100
Bayam rebus,93.5,23,1.2,0.6,3.7,1.1,1,150,35,0.5,16,308.4,0.2,0.3,0,3282,2864,0.02,0.1,0.9,19,100
Buncis rebus,90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7,138.9,0.1,0.3,,1,402,0.01,0.29,2,8,100
Daun kacang panjang kukus,87.2,40,3.7,0.3,8,1.8,0.8,111,66,3.7,6,419.5,0.2,0.3,0,2645,5781,0.15,0.2,0.9,11,100
Daun katuk rebus,83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16,291.3,0.3,1.3,0,11131,9000,0,0.3,2.2,66,100
Daun kelor rebus,80.3,61,6.1,0.9,10,0.9,2.6,255,36,2.1,45,181.2,0.1,0.6,,3972,6071,0.1,0.1,4,13,100
Daun mengkudu kukus,81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6,,,,,,2,4900,0.08,0.1,5.2,11,100
Daun singkong rebus,90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13,14,0.1,2,,3897,4150,0.02,0.1,1.7,34,100
